family,genus,searched.name,count,score
Geraniaceae,Erodium,Erodium.cicutarium,100,0.2772163
Liliaceae,Gagea,Gagea.foliosa,101,0.126403665
Poaceae,Milium,Milium.vernale,104,0.215320029
Apiaceae,Carum,Carum.appuanum,106,0.216241052
Fabaceae,Cytisus,Cytisus.austriacus,107,0.060168598
Leguminosae,Cytisus,Cytisus.austriacus,107,0.060168598
Campanulaceae,Campanula,Campanula.lusitanica,109,0.351514995
Compositae,Senecio,Senecio.duriaei,110,0.239970182
Asteraceae,Centaurea,Centaurea.deusta,112,0.285901586
Compositae,Centaurea,Centaurea.deusta,112,0.285901586
Apiaceae,Bupleurum,Bupleurum.glumaceum,112,0.319799177
Caryophyllaceae,Cerastium,Cerastium.ligusticum,113,0.17504708
Cyperaceae,Carex,Carex.filiformis,114,0.120695664
Poaceae,Anisantha,Anisantha.rigida,115,0.215415043
Caryophyllaceae,Silene,Silene.laeta,119,0.432808387
Liliaceae,Gagea,Gagea.foliosa,121,0.04331988
Compositae,Scorzoneroides,Scorzoneroides.carpetana,121,0.215051322
Poaceae,Stipa,Stipa.parviflora,123,0.09194582
Poaceae,Stipella,Stipa.parviflora,123,0.09194582
Asteraceae,Hypochaeris,Hypochaeris.cretensis,123,0.126459106
Compositae,Hypochaeris,Hypochaeris.cretensis,123,0.126459106
Poaceae,Setaria,Setaria.adhaerens,123,0.273469949
Brassicaceae,Barbarea,Barbarea.vulgaris,123,0.511680035
Lamiaceae,Thymus,Thymus.baeticus,128,0.291385181
Caryophyllaceae,Arenaria,Arenaria.erinacea,129,0.255791656
Lamiaceae,Salvia,Salvia.transsylvanica,130,0.085917946
Fabaceae,Trifolium,Trifolium.bocconei,139,0.173367096
Leguminosae,Trifolium,Trifolium.bocconei,139,0.173367096
Cyperaceae,Carex,Carex.hispida,153,0.174360915
Apiaceae,Elaeoselinum,Elaeoselinum.foetidum,154,0.191066261
Poaceae,Schismus,Schismus.barbatus,155,0.185324946
Campanulaceae,Campanula,Campanula.serrata,157,0.046616697
Poaceae,Koeleria,Koeleria.crassipes,158,0.116030869
Poaceae,Koeleria,Koeleria.crassipes,158,0.116030869
Caryophyllaceae,Silene,Silene.graeca,160,0.342852843
Compositae,Crepis,Crepis.commutata,163,0.18299048
Amaranthaceae,Salsola,Salsola.genistoides,164,0.220749497
Fabaceae,Medicago,Medicago.minima,164,0.320272836
Papilionaceae,Medicago,Medicago.minima,164,0.320272836
Asteraceae,Jacobaea,Jacobaea.erucifolia,165,0.268350082
Brassicaceae,Alyssum,Alyssum.linifolium,166,0.184739235
Lamiaceae,Sideritis,Sideritis.leucantha,172,0.257215378
Papaveraceae,Glaucium,Glaucium.corniculatum,177,0.360367571
Compositae,Cynara,Cynara.algarbiensis,178,0.309516216
Linaceae,Linum,Linum.hirsutum,180,0.314700833
Campanulaceae,Legousia,Legousia.speculum-veneris,191,0.210087016
Asteraceae,Filago,Filago.gallica,195,0.193225384
Compositae,Filago,Filago.gallica,195,0.193225384
Euphorbiaceae,Euphorbia,Euphorbia.lagascae,195,0.262249547
Poaceae,Danthonia,Danthonia.alpina,196,0.165679404
Fabaceae,Hippocrepis,Hippocrepis.scabra,196,0.34211637
Leguminosae,Hippocrepis,Hippocrepis.scabra,196,0.34211637
Asteraceae,Jacobaea,Jacobaea.erucifolia,198,0.34619896
Fabaceae,Trifolium,Trifolium.pallidum,199,0.243897387
Leguminosae,Trifolium,Trifolium.pallidum,199,0.243897387
Compositae,Anthemis,Anthemis.tricolor,199,0.256320588
Resedaceae,Reseda,Reseda.undata,202,0.220585941
Poaceae,Phleum,Phleum.subulatum,203,0.178309477
Fabaceae,Cytisus,Lembotropis.nigricans,208,0.170442693
Leguminosae,Lembotropis,Lembotropis.nigricans,208,0.170442693
Asteraceae,Scorzonera,Scorzonera.villosa,209,0.157402377
Compositae,Scorzonera,Scorzonera.villosa,209,0.157402377
Caryophyllaceae,Petrorhagia,Petrorhagia.illyrica,218,0.338743174
Malvaceae,Malva,Malva.subovata,219,0.322343795
Brassicaceae,Iberis,Iberis.pectinata,220,0.40554351
Convolvulaceae,Convolvulus,Convolvulus.pentapetaloides,223,0.284027338
Compositae,Centaurea,Centaurea.atropurpurea,224,0.345896378
Apiaceae,Bifora,Bifora.radians,226,0.281976849
Fabaceae,Hippocrepis,Hippocrepis.unisiliquosa,227,0.181488186
Leguminosae,Hippocrepis,Hippocrepis.unisiliquosa,227,0.181488186
Papilionaceae,Hippocrepis,Hippocrepis.unisiliquosa,227,0.181488186
Caprifoliaceae,Valerianella,Valerianella.microcarpa,229,0.233487395
Asteraceae,Hedypnois,Hedypnois.rhagadioloides,229,0.318892943
Melanthiaceae,Veratrum,Veratrum.lobelianum,233,0.38102206
Lamiaceae,Salvia,Salvia.lanigera,235,0.304907059
Lamiaceae,Salvia,Salvia.lanigera,235,0.304907059
Lamiaceae,Salvia,Salvia.lanigera,235,0.304907059
Caprifoliaceae,Knautia,Knautia.orientalis,236,0.348691398
Fabaceae,Astragalus,Astragalus.stella,239,0.257198033
Leguminosae,Astragalus,Astragalus.stella,239,0.257198033
Poaceae,Bromus,Bromus.intermedius,240,0.176835
Apiaceae,Seseli,Seseli.libanotis,244,0.14438541
Linaceae,Linum,Linum.corymbulosum,251,0.31994757
Linaceae,Linum,Linum.corymbulosum,251,0.31994757
Linaceae,Linum,Linum.corymbulosum,251,0.31994757
Cyperaceae,Carex,Carex.stenophylla,256,0.233498316
Lamiaceae,Thymus,Thymus.roegneri,258,0.222947398
Brassicaceae,Draba,Erophila.verna,258,0.28622242
Brassicaceae,Draba,Erophila.verna,258,0.28622242
Brassicaceae,Erophila,Erophila.verna,258,0.28622242
Apiaceae,Oenanthe,Oenanthe.peucedanifolia,259,0.186156846
Poaceae,Stipa,Stipa.eriocaulis,259,0.199329224
Amaryllidaceae,Allium,Allium.junceum,261,0.221445734
Boraginaceae,Myosotis,Myosotis.persoonii,262,0.34763644
Rosaceae,Alchemilla,Alchemilla.hybrida,267,0.235978056
Rosaceae,Aphanes,Aphanes.minutiflora,272,0.071366367
Fabaceae,Trifolium,Trifolium.retusum,272,0.179165411
Leguminosae,Trifolium,Trifolium.retusum,272,0.179165411
Apiaceae,Peucedanum,Peucedanum.alsaticum,273,0.164256896
Apiaceae,Xanthoselinum,Peucedanum.alsaticum,273,0.164256896
Apiaceae,Ligusticum,Ligusticum.mutellina,278,0.136885944
